Water Quality Data,,,,,,Fish Population Data,,,,
Site ID,Date,Temperature (°C),pH,Dissolved Oxygen (mg/L),,Site ID,Date,Species,Count,Avg. Size (cm)
AV-1,11/6/2023,13.5,7.88,7.9,,AV-1,11/6/2023,Brown Trout,12,18.3
AV-2,11/2/2023,16.8,7.33,8.2,,AV-2,11/2/2023,Shortfin Eel,7,42.1
AV-3,10/21/2023,15.1,7.6,7.5,,AV-3,10/21/2023,Inanga,25,7.4
AV-1,11/1/2023,14,7.05,9,,AV-1,11/1/2023,Longfin Eel,6,38.9
AV-2,10/14/2023,15.3,7.64,6.9,,AV-2,10/14/2023,Brown Trout,9,17
AV-3,11/10/2023,17.9,7.22,8.4,,AV-3,11/10/2023,Inanga,22,8.1
AV-1,10/15/2023,13.9,7.11,7.8,,AV-1,10/15/2023,Shortfin Eel,5,40.3
AV-3,11/12/2023,18.6,7.33,6.5,,AV-3,11/12/2023,Inanga,30,6.9
AV-2,11/8/2023,15.7,7.65,9.1,,AV-2,11/8/2023,Brown Trout,10,19.5
AV-1,11/13/2023,16.2,7.5,8.6,,AV-1,11/13/2023,Inanga,18,8.2
AV-3,10/25/2023,14.5,7.49,8,,AV-3,10/25/2023,Longfin Eel,4,44
AV-2,10/18/2023,16.3,7.71,7.6,,AV-2,10/18/2023,Shortfin Eel,8,39.7
AV-1,10/11/2023,13.7,7.1,7.7,,AV-1,10/11/2023,Inanga,20,7.5
AV-2,10/20/2023,15.4,7.66,8.9,,AV-2,10/20/2023,Brown Trout,11,18.1
AV-3,11/14/2023,19.2,7.36,7.4,,AV-3,11/14/2023,Inanga,28,7.3
AV-2,10/17/2023,15.9,7.38,6.8,,AV-2,10/17/2023,Longfin Eel,3,41.9
AV-1,10/22/2023,13.4,7.08,7.2,,AV-1,10/22/2023,Shortfin Eel,4,40
AV-3,10/27/2023,17.1,7.45,8.3,,AV-3,10/27/2023,Inanga,26,7.6
AV-2,11/3/2023,16.6,7.74,7.9,,AV-2,11/3/2023,Inanga,19,8
AV-1,10/29/2023,14.1,7.32,8.8,,AV-1,10/29/2023,Brown Trout,13,17.8
AV-3,11/9/2023,18.3,7.41,7.7,,AV-3,11/9/2023,Longfin Eel,5,43.2
AV-2,10/23/2023,15,7.68,8.5,,AV-2,10/23/2023,Inanga,21,7.7
AV-1,10/12/2023,13.6,7.26,7.6,,AV-1,10/12/2023,Shortfin Eel,7,39.5
